PLAYER,TEAM,POSITION,MINUTES,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total
Jerami Grant,Trail Blazers,"SF, PF",2246 ,0.2 ,-0.7 ,-0.5 ,1.5 ,-1.3 ,0.2 ,0.5 ,-0.9 ,-0.4 ,2.7 
Luke Kennard,Grizzlies,SG,1422 ,0.7 ,-0.9 ,-0.2 ,3.8 ,1.8 ,5.6 ,1.4 ,-0.4 ,1.0 ,2.7 
Gabe Vincent,Heat,PG,2431 ,-1.1 ,0.0 ,-1.1 ,0.0 ,1.2 ,1.3 ,-0.9 ,0.2 ,-0.7 ,2.7 
Ivica Zubac,Clippers,C,2300 ,-2.5 ,2.4 ,0.0 ,0.2 ,-2.3 ,-2.1 ,-2.1 ,1.6 ,-0.5 ,2.7 
LaMelo Ball,Hornets,SG,1268 ,1.8 ,-0.4 ,1.5 ,2.7 ,-3.3 ,-0.6 ,2.2 ,-1.0 ,1.2 ,2.6 
Wendell Carter Jr.,Magic,C,1690 ,-1.3 ,1.2 ,-0.1 ,-0.5 ,1.9 ,1.4 ,-1.2 ,1.5 ,0.2 ,2.6 
Pat Connaughton,Bucks,"SG, SF",1531 ,-0.3 ,1.2 ,0.9 ,-0.2 ,-0.5 ,-0.7 ,-0.3 ,0.9 ,0.6 ,2.6 
Kyle Kuzma,Wizards,"SF, PF",2239 ,-1.0 ,0.0 ,-1.0 ,-0.8 ,2.4 ,1.6 ,-1.0 ,0.5 ,-0.5 ,2.6 
Jusuf Nurkic,Trail Blazers,C,1391 ,-1.2 ,2.1 ,0.9 ,-0.4 ,0.9 ,0.6 ,-1.1 ,2.0 ,0.9 ,2.6 
Isaac Okoro,Cavaliers,"SG, SF",1727 ,-1.0 ,1.4 ,0.4 ,-0.3 ,-0.3 ,-0.7 ,-0.9 ,1.1 ,0.2 ,2.6 
Dwight Powell,Mavericks,C,1458 ,-1.7 ,1.2 ,-0.5 ,4.7 ,0.5 ,5.2 ,-0.5 ,1.2 ,0.7 ,2.6 
Gary Trent Jr.,Raptors,"SG, SF",2118 ,1.1 ,-0.6 ,0.5 ,-2.7 ,-0.8 ,-3.5 ,0.4 ,-0.7 ,-0.3 ,2.6 
Terance Mann,Clippers,"PG, SG, SF",2005 ,-0.2 ,-0.6 ,-0.8 ,2.1 ,-0.5 ,1.6 ,0.3 ,-0.6 ,-0.3 ,2.5 
Nicolas Batum,Clippers,"SG, SF, PF",1801 ,-1.0 ,0.2 ,-0.7 ,0.5 ,1.9 ,2.4 ,-0.7 ,0.6 ,-0.1 ,2.4 
Davion Mitchell,Kings,PG,1587 ,-2.0 ,2.2 ,0.1 ,-1.9 ,2.5 ,0.6 ,-2.2 ,2.4 ,0.2 ,2.4 
Xavier Tillman,Grizzlies,PF,1363 ,-1.0 ,1.9 ,0.9 ,-1.1 ,0.7 ,-0.4 ,-1.1 ,1.7 ,0.6 ,2.4 
Saddiq Bey,Hawks,"SF, PF",2262 ,1.4 ,-2.4 ,-1.0 ,2.4 ,-2.1 ,0.2 ,1.7 ,-2.5 ,-0.8 ,2.3 
Daniel Gafford,Wizards,C,1604 ,0.4 ,0.0 ,0.4 ,0.1 ,-1.7 ,-1.6 ,0.4 ,-0.4 ,0.0 ,2.3 
Anthony Lamb,Warriors,"SF, PF",1226 ,-1.0 ,2.3 ,1.3 ,-1.3 ,0.6 ,-0.7 ,-1.1 ,2.1 ,1.0 ,2.3 
Kelly Oubre Jr.,Hornets,SF,1548 ,0.2 ,0.5 ,0.8 ,-2.2 ,-0.7 ,-2.9 ,-0.2 ,0.3 ,0.2 ,2.3 
Dennis Schroder,Lakers,"PG, SG",2403 ,-0.9 ,-0.4 ,-1.3 ,0.5 ,0.7 ,1.3 ,-0.7 ,-0.2 ,-0.9 ,2.3 
Dennis Smith Jr.,Hornets,PG,1390 ,-2.3 ,2.3 ,0.0 ,-5.3 ,7.1 ,1.8 ,-3.0 ,3.5 ,0.4 ,2.3 
Jordan Clarkson,Jazz,"PG, SG",1988 ,2.1 ,-2.8 ,-0.7 ,2.1 ,-1.9 ,0.2 ,2.2 ,-2.8 ,-0.5 ,2.2 
Zach Collins,Spurs,"PF, C",1441 ,-1.7 ,1.5 ,-0.2 ,-0.5 ,1.5 ,1.0 ,-1.5 ,1.7 ,0.2 ,2.2 
Dorian Finney-Smith,Nets,"SF, PF",2110 ,-2.6 ,1.5 ,-1.1 ,0.2 ,0.5 ,0.6 ,-2.2 ,1.4 ,-0.8 ,2.2 
Myles Turner,Pacers,C,1825 ,-0.9 ,-0.2 ,-1.0 ,2.6 ,-0.2 ,2.3 ,-0.2 ,-0.2 ,-0.3 ,2.2 
Josh Green,Mavericks,"SG, SF",1539 ,-1.4 ,0.7 ,-0.7 ,0.6 ,2.1 ,2.6 ,-1.1 ,1.0 ,-0.1 ,2.1 
Christian Wood,Mavericks,"PF, C",1738 ,0.4 ,-0.2 ,0.2 ,0.2 ,-3.0 ,-2.9 ,0.3 ,-0.8 ,-0.4 ,2.1 
Chris Boucher,Raptors,"SF, PF",1523 ,0.5 ,0.1 ,0.6 ,-3.1 ,0.3 ,-2.8 ,-0.3 ,0.1 ,-0.1 ,2.0 
Markelle Fultz,Magic,"PG, SG",1778 ,-0.2 ,-0.1 ,-0.3 ,-0.8 ,-1.4 ,-2.2 ,-0.3 ,-0.4 ,-0.7 ,1.9 
Jalen McDaniels,76ers,"SF, PF",2015 ,-1.9 ,0.5 ,-1.3 ,0.9 ,0.0 ,0.9 ,-1.4 ,0.5 ,-0.9 ,1.9 
Keegan Murray,Kings,"SF, PF",2576 ,-0.7 ,-0.7 ,-1.5 ,1.8 ,-1.9 ,-0.2 ,-0.3 ,-1.0 ,-1.3 ,1.9 
Nikola Vucevic,Bulls,C,2746 ,-0.9 ,0.1 ,-0.8 ,0.2 ,-3.2 ,-3.0 ,-0.7 ,-0.7 ,-1.4 ,1.9 
Deni Avdija,Wizards,SF,2020 ,-1.9 ,1.0 ,-1.0 ,-0.6 ,-0.2 ,-0.8 ,-1.8 ,0.8 ,-1.0 ,1.8 
AJ Griffin,Hawks,SF,1401 ,0.1 ,-1.1 ,-1.0 ,1.5 ,1.5 ,3.0 ,0.4 ,-0.6 ,-0.2 ,1.8 
Damion Lee,Suns,"SG, SF",1595 ,-0.9 ,0.0 ,-0.9 ,-2.2 ,3.3 ,1.1 ,-1.2 ,0.7 ,-0.5 ,1.8 
Bobby Portis,Bucks,"PF, C",1925 ,0.1 ,-0.3 ,-0.2 ,-0.4 ,-2.9 ,-3.4 ,0.0 ,-0.9 ,-0.9 ,1.8 
Matisse Thybulle,Trail Blazers,"SG, SF",1200 ,-2.0 ,2.0 ,0.0 ,-2.4 ,3.4 ,1.0 ,-2.3 ,2.5 ,0.2 ,1.8 
Troy Brown Jr.,Lakers,"SG, SF",1984 ,-1.7 ,1.0 ,-0.6 ,-1.1 ,-1.5 ,-2.6 ,-1.6 ,0.6 ,-1.1 ,1.7 
Jalen Green,Rockets,SG,2602 ,1.3 ,-2.9 ,-1.6 ,1.3 ,-2.4 ,-1.2 ,1.5 ,-2.9 ,-1.4 ,1.7 
Grant Williams,Celtics,"SF, PF",2310 ,-0.7 ,-0.8 ,-1.5 ,-0.1 ,0.4 ,0.3 ,-0.6 ,-0.7 ,-1.3 ,1.7 
Devin Vassell,Spurs,"SG, SF",1178 ,1.0 ,-0.3 ,0.7 ,-2.4 ,-1.3 ,-3.7 ,0.4 ,-0.5 ,-0.1 ,1.6 
Devonte' Graham,Spurs,PG,1338 ,1.5 ,-1.4 ,0.1 ,-3.3 ,0.1 ,-3.2 ,0.7 ,-1.2 ,-0.5 ,1.5 
Trey Lyles,Kings,PF,1365 ,-0.1 ,-0.9 ,-1.1 ,0.4 ,1.3 ,1.7 ,-0.1 ,-0.5 ,-0.6 ,1.5 
Karl-Anthony Towns,Timberwolves,"PF, C",1137 ,0.2 ,0.6 ,0.8 ,-3.4 ,-0.4 ,-3.8 ,-0.5 ,0.4 ,-0.1 ,1.5 
Russell Westbrook,Clippers,"PG, SG",2318 ,0.5 ,-2.1 ,-1.6 ,1.0 ,-1.9 ,-0.9 ,0.6 ,-2.2 ,-1.5 ,1.5 
Bojan Bogdanovic,Pistons,"SF, PF",1893 ,1.8 ,-3.1 ,-1.3 ,1.8 ,-3.2 ,-1.4 ,2.0 ,-3.3 ,-1.3 ,1.4 
Bones Hyland,Clippers,PG,1167 ,1.5 ,-0.7 ,0.8 ,-0.4 ,-4.3 ,-4.7 ,1.1 ,-1.5 ,-0.4 ,1.4 
Max Strus,Heat,"SG, SF",2920 ,0.2 ,-1.0 ,-0.8 ,-3.3 ,-2.1 ,-5.4 ,-0.5 ,-1.3 ,-1.8 ,1.4 
Jalen Williams,Thunder,"SG, SF",2276 ,-0.4 ,-1.3 ,-1.7 ,-1.7 ,1.1 ,-0.6 ,-0.7 ,-0.9 ,-1.6 ,1.4 
Jevon Carter,Bucks,"PG, SG",1859 ,-1.3 ,-0.3 ,-1.6 ,-3.0 ,3.3 ,0.3 ,-1.7 ,0.4 ,-1.3 ,1.3 
Torrey Craig,Suns,"SF, PF",2131 ,-1.1 ,0.5 ,-0.6 ,-1.4 ,-3.6 ,-4.9 ,-1.3 ,-0.3 ,-1.6 ,1.3 
Rui Hachimura,Lakers,PF,1854 ,-1.2 ,-0.1 ,-1.3 ,-3.3 ,1.7 ,-1.6 ,-1.7 ,0.3 ,-1.5 ,1.3 
Naz Reid,Timberwolves,C,1251 ,-0.6 ,0.5 ,-0.1 ,-2.8 ,-0.3 ,-3.1 ,-1.1 ,0.4 ,-0.7 ,1.3 
Collin Sexton,Jazz,"PG, SG",1145 ,1.2 ,-1.5 ,-0.3 ,0.3 ,-1.7 ,-1.4 ,1.0 ,-1.6 ,-0.6 ,1.3 
Keita Bates-Diop,Spurs,"SF, PF",1452 ,-1.0 ,-0.1 ,-1.2 ,-2.2 ,0.6 ,-1.6 ,-1.3 ,0.1 ,-1.2 ,1.2 
Victor Oladipo,Heat,SG,1151 ,-1.8 ,1.1 ,-0.8 ,-0.9 ,0.7 ,-0.2 ,-1.7 ,1.0 ,-0.7 ,1.2 
Santi Aldama,Grizzlies,"PF, C",1783 ,-1.0 ,-0.4 ,-1.4 ,-0.2 ,-1.3 ,-1.5 ,-0.9 ,-0.7 ,-1.6 ,1.1 
Malik Beasley,Lakers,"SG, SF",2184 ,0.4 ,-1.7 ,-1.3 ,-1.7 ,-1.4 ,-3.2 ,-0.1 ,-1.7 ,-1.8 ,1.1 
Gary Harris,Magic,SG,1184 ,-0.4 ,-0.3 ,-0.7 ,2.0 ,-3.9 ,-1.9 ,0.1 ,-1.1 ,-1.0 ,1.1 
Naji Marshall,Pelicans,SF,1792 ,-0.7 ,-0.7 ,-1.4 ,-1.7 ,0.2 ,-1.5 ,-0.9 ,-0.5 ,-1.5 ,1.1 
Norman Powell,Clippers,"SG, SF",1734 ,1.5 ,-1.9 ,-0.4 ,-5.7 ,-0.1 ,-5.8 ,0.1 ,-1.6 ,-1.6 ,1.1 
Obi Toppin,Knicks,PF,1225 ,-0.9 ,-0.6 ,-1.5 ,-1.0 ,2.0 ,1.0 ,-1.0 ,-0.1 ,-1.1 ,1.1 
Drew Eubanks,Trail Blazers,"PF, C",1584 ,-2.0 ,0.4 ,-1.6 ,0.5 ,-1.5 ,-1.0 ,-1.6 ,0.1 ,-1.5 ,1.0 
Talen Horton-Tucker,Jazz,SF,1313 ,-0.8 ,-0.7 ,-1.5 ,-2.0 ,1.9 ,-0.1 ,-1.1 ,-0.1 ,-1.3 ,1.0 
Cory Joseph,Pistons,PG,1227 ,0.2 ,-1.8 ,-1.6 ,0.3 ,0.1 ,0.4 ,0.3 ,-1.5 ,-1.2 ,1.0 
Jarred Vanderbilt,Lakers,"SF, PF",2126 ,-1.9 ,0.6 ,-1.3 ,-0.1 ,-3.1 ,-3.2 ,-1.7 ,-0.1 ,-1.8 ,1.0 
Christian Braun,Nuggets,SG,1428 ,-1.6 ,0.8 ,-0.7 ,-6.0 ,1.4 ,-4.6 ,-2.6 ,1.0 ,-1.6 ,0.9 
Gordon Hayward,Hornets,SF,1577 ,-2.0 ,-0.4 ,-2.4 ,-1.3 ,2.9 ,1.6 ,-1.9 ,0.3 ,-1.6 ,0.9 
Aaron Wiggins,Thunder,"SG, SF",1297 ,-1.0 ,-0.6 ,-1.6 ,0.4 ,-0.1 ,0.3 ,-0.8 ,-0.5 ,-1.3 ,0.9 
Killian Hayes,Pistons,"PG, SG",2154 ,-2.2 ,0.5 ,-1.8 ,-2.9 ,-0.3 ,-3.1 ,-2.4 ,0.4 ,-2.0 ,0.8 
De'Andre Hunter,Hawks,SF,2350 ,-1.6 ,-1.0 ,-2.6 ,1.4 ,-0.7 ,0.7 ,-1.1 ,-1.0 ,-2.1 ,0.8 
Keldon Johnson,Spurs,"SF, PF",2063 ,0.9 ,-2.3 ,-1.3 ,-0.2 ,-4.5 ,-4.7 ,0.9 ,-2.8 ,-1.9 ,0.8 
Josh Richardson,Pelicans,"PG, SG",1530 ,-0.5 ,-1.4 ,-2.0 ,-1.9 ,1.1 ,-0.8 ,-0.8 ,-1.0 ,-1.8 ,0.8 
Jalen Duren,Pistons,"PF, C",1670 ,-1.8 ,0.0 ,-1.8 ,-2.1 ,-0.1 ,-2.1 ,-1.9 ,0.0 ,-1.9 ,0.7 
Shake Milton,76ers,"PG, SG, SF",1588 ,-0.2 ,-2.4 ,-2.6 ,-0.1 ,1.0 ,0.9 ,-0.2 ,-1.8 ,-2.0 ,0.6 
Jeremy Sochan,Spurs,PF,1458 ,-2.5 ,0.1 ,-2.4 ,0.6 ,-0.6 ,0.0 ,-1.9 ,0.0 ,-1.9 ,0.6 
Jonas Valanciunas,Pelicans,C,1968 ,-0.8 ,-1.1 ,-1.9 ,0.2 ,-2.6 ,-2.5 ,-0.7 ,-1.5 ,-2.2 ,0.6 
Andrew Nembhard,Pacers,"PG, SG",2073 ,-1.5 ,-0.2 ,-1.8 ,-1.2 ,-2.7 ,-3.9 ,-1.6 ,-0.7 ,-2.3 ,0.5 
Isaiah Stewart,Pistons,C,1414 ,-2.3 ,-0.1 ,-2.4 ,-0.4 ,-0.3 ,-0.7 ,-2.0 ,-0.1 ,-2.1 ,0.5 
Precious Achiuwa,Raptors,"PF, C",1140 ,-2.4 ,0.6 ,-1.8 ,1.6 ,-3.8 ,-2.2 ,-1.8 ,-0.3 ,-2.1 ,0.4 
Bennedict Mathurin,Pacers,"SG, SF",2222 ,-0.4 ,-1.8 ,-2.2 ,-2.7 ,0.1 ,-2.6 ,-0.9 ,-1.5 ,-2.4 ,0.4 
Aaron Nesmith,Pacers,SF,1816 ,-1.3 ,-0.7 ,-2.0 ,0.7 ,-4.1 ,-3.4 ,-0.9 ,-1.4 ,-2.4 ,0.4 
Nick Richards,Hornets,"PF, C",1217 ,-0.9 ,-1.6 ,-2.5 ,-0.4 ,0.2 ,-0.2 ,-0.8 ,-1.3 ,-2.1 ,0.4 
Patrick Beverley,Bulls,"PG, SG, SF",1816 ,-2.8 ,0.4 ,-2.3 ,-1.5 ,-0.6 ,-2.1 ,-2.7 ,0.2 ,-2.4 ,0.3 
Josh Giddey,Thunder,"SF, PF",2367 ,0.3 ,-2.1 ,-1.7 ,-2.0 ,-2.7 ,-4.6 ,-0.1 ,-2.3 ,-2.5 ,0.3 
Isaiah Livers,Pistons,PF,1199 ,-2.5 ,0.1 ,-2.4 ,-1.2 ,0.2 ,-1.0 ,-2.4 ,0.2 ,-2.2 ,0.3 
Tre Mann,Thunder,PG,1183 ,-1.5 ,-1.1 ,-2.6 ,-1.9 ,1.5 ,-0.4 ,-1.7 ,-0.6 ,-2.3 ,0.3 
Terrence Ross,Suns,"SG, SF",1399 ,-0.5 ,-1.8 ,-2.3 ,-0.2 ,-1.5 ,-1.7 ,-0.5 ,-1.8 ,-2.3 ,0.3 
Ayo Dosunmu,Bulls,"PG, SG",2098 ,-2.3 ,0.1 ,-2.3 ,-4.4 ,1.5 ,-2.9 ,-2.9 ,0.3 ,-2.6 ,0.2 
Corey Kispert,Wizards,SF,2093 ,-0.4 ,-1.7 ,-2.1 ,-0.5 ,-3.0 ,-3.5 ,-0.4 ,-2.1 ,-2.5 ,0.2 
Jaylen Nowell,Timberwolves,SG,1314 ,0.2 ,-2.8 ,-2.5 ,-1.3 ,0.0 ,-1.3 ,-0.1 ,-2.4 ,-2.4 ,0.2 
Jonathan Kuminga,Warriors,PF,1455 ,-2.5 ,0.4 ,-2.1 ,-2.2 ,-1.4 ,-3.6 ,-2.6 ,0.0 ,-2.6 ,0.1 
Deandre Ayton,Suns,C,2354 ,-2.3 ,0.1 ,-2.2 ,-2.2 ,-1.8 ,-4.0 ,-2.4 ,-0.3 ,-2.7 ,0.0 
Seth Curry,Nets,"PG, SG",1269 ,-0.2 ,-1.8 ,-2.0 ,-2.7 ,-2.4 ,-5.2 ,-0.8 ,-2.1 ,-2.8 ,0.0 
Joe Harris,Nets,"SG, SF",1571 ,-0.7 ,-1.8 ,-2.5 ,-1.2 ,-1.6 ,-2.8 ,-0.8 ,-1.9 ,-2.7 ,0.0 
P.J. Tucker,76ers,"SF, PF",2214 ,-3.2 ,0.1 ,-3.1 ,1.9 ,-2.5 ,-0.6 ,-2.3 ,-0.5 ,-2.8 ,0.0 
Trendon Watford,Trail Blazers,"PF, C",1182 ,-1.7 ,-0.4 ,-2.1 ,-2.4 ,-2.4 ,-4.8 ,-2.0 ,-0.7 ,-2.7 ,0.0 
Ochai Agbaji,Jazz,SF,1209 ,-1.3 ,-2.2 ,-3.5 ,0.6 ,-0.6 ,0.1 ,-1.0 ,-2.0 ,-3.0 ,-0.1 
John Collins,Hawks,"PF, C",2294 ,-2.7 ,-0.5 ,-3.2 ,-1.1 ,0.5 ,-0.6 ,-2.5 ,-0.3 ,-2.9 ,-0.1 
Reggie Jackson,Nuggets,"PG, SG",1675 ,-2.1 ,-0.2 ,-2.3 ,-3.8 ,-0.5 ,-4.2 ,-2.6 ,-0.3 ,-2.9 ,-0.1 
Patrick Williams,Bulls,"SG, SF, PF",2323 ,-2.8 ,0.3 ,-2.5 ,-0.8 ,-3.1 ,-3.8 ,-2.5 ,-0.4 ,-2.9 ,-0.2 
Marcus Morris Sr.,Clippers,"PF, C",1893 ,-1.7 ,-1.5 ,-3.2 ,-0.8 ,-0.8 ,-1.6 ,-1.6 ,-1.4 ,-3.0 ,-0.3 
Georges Niang,76ers,PF,1669 ,-0.4 ,-2.7 ,-3.1 ,-1.7 ,-0.2 ,-1.9 ,-0.7 ,-2.4 ,-3.1 ,-0.3 
Taurean Prince,Timberwolves,"SF, PF",1292 ,-2.3 ,-1.2 ,-3.5 ,-1.3 ,0.2 ,-1.0 ,-2.2 ,-1.0 ,-3.2 ,-0.3 
Paolo Banchero,Magic,PF,2430 ,-1.6 ,-0.9 ,-2.5 ,-0.5 ,-4.5 ,-5.0 ,-1.4 ,-1.7 ,-3.1 ,-0.4 
Jalen Smith,Pacers,"PF, C",1279 ,-2.4 ,-1.4 ,-3.8 ,-1.9 ,-0.6 ,-2.5 ,-2.4 ,-1.3 ,-3.7 ,-0.6 
P.J. Washington,Hornets,"PF, C",2380 ,-1.8 ,-1.1 ,-3.0 ,-2.0 ,-1.8 ,-3.8 ,-1.9 ,-1.3 ,-3.2 ,-0.6 
RJ Barrett,Knicks,"SG, SF",2852 ,-0.3 ,-2.0 ,-2.2 ,-1.8 ,-4.1 ,-6.0 ,-0.7 ,-2.6 ,-3.2 ,-0.7 
Jordan Poole,Warriors,"PG, SG",2742 ,-0.2 ,-2.1 ,-2.3 ,-5.9 ,-0.2 ,-6.1 ,-1.4 ,-1.8 ,-3.2 ,-0.7 
David Roddy,Grizzlies,"SF, PF",1334 ,-2.9 ,-0.3 ,-3.2 ,-2.0 ,-2.8 ,-4.8 ,-2.9 ,-0.9 ,-3.8 ,-0.7 
Eric Gordon,Clippers,"SG, SF",2114 ,-0.5 ,-3.8 ,-4.3 ,-1.3 ,0.1 ,-1.3 ,-0.7 ,-3.2 ,-3.9 ,-1.3 
Jordan Nwora,Pacers,"SF, PF",1188 ,-1.3 ,-2.9 ,-4.2 ,-2.7 ,-3.7 ,-6.4 ,-1.7 ,-3.2 ,-4.9 ,-1.3 
Lonnie Walker IV,Lakers,"SG, SF",1476 ,-1.8 ,-1.7 ,-3.6 ,-3.1 ,-3.4 ,-6.5 ,-2.2 ,-2.2 ,-4.4 ,-1.3 
Bol Bol,Magic,"PF, C",1505 ,-3.1 ,-1.6 ,-4.7 ,-3.6 ,-0.2 ,-3.8 ,-3.3 ,-1.4 ,-4.7 ,-1.5 
Kenyon Martin Jr.,Rockets,"SF, PF",2292 ,-1.2 ,-3.3 ,-4.6 ,0.8 ,-2.1 ,-1.3 ,-0.9 ,-3.2 ,-4.1 ,-1.6 
Jeff Green,Nuggets,PF,1434 ,-3.2 ,-0.7 ,-4.0 ,-5.4 ,-2.5 ,-7.9 ,-3.9 ,-1.2 ,-5.1 ,-1.7 
Doug McDermott,Spurs,"SF, PF",1314 ,-1.2 ,-4.4 ,-5.6 ,-1.3 ,-2.1 ,-3.3 ,-1.2 ,-4.2 ,-5.4 ,-1.8 
Shaedon Sharpe,Trail Blazers,"SG, SF",1779 ,-1.9 ,-2.3 ,-4.2 ,-3.0 ,-3.9 ,-6.9 ,-2.3 ,-2.7 ,-5.0 ,-2.0 
Reggie Bullock,Mavericks,SF,2364 ,-2.5 ,-1.8 ,-4.4 ,-2.1 ,-2.2 ,-4.3 ,-2.6 ,-2.0 ,-4.6 ,-2.2 
Jabari Smith Jr.,Rockets,"PF, C",2451 ,-3.1 ,-0.8 ,-4.0 ,-3.0 ,-3.9 ,-6.8 ,-3.3 ,-1.5 ,-4.7 ,-2.5 
Jaden Ivey,Pistons,"PG, SG",2304 ,-1.1 ,-2.5 ,-3.7 ,-4.6 ,-5.3 ,-9.9 ,-1.9 ,-3.2 ,-5.0 ,-2.7 
Malaki Branham,Spurs,SG,1550 ,-3.0 ,-4.3 ,-7.3 ,-1.0 ,-1.2 ,-2.2 ,-2.7 ,-3.9 ,-6.6 ,-3.0 
